datetime,Average Tone
2017-06-01 00:00:00+00:00,-2.0592
2017-06-02 00:00:00+00:00,-1.6262
2017-06-03 00:00:00+00:00,-3.4485
2017-06-04 00:00:00+00:00,-1.4081
2017-06-05 00:00:00+00:00,-6.0462
2017-06-06 00:00:00+00:00,-1.1271
2017-06-07 00:00:00+00:00,-0.3687
2017-06-08 00:00:00+00:00,-2.4529
2017-06-09 00:00:00+00:00,-1.1545
2017-06-10 00:00:00+00:00,-0.9926
2017-06-11 00:00:00+00:00,-0.3201
2017-06-12 00:00:00+00:00,-2.0163
2017-06-13 00:00:00+00:00,-1.2962
2017-06-14 00:00:00+00:00,-0.5902
2017-06-15 00:00:00+00:00,-1.4393
2017-06-16 00:00:00+00:00,-1.6894
2017-06-17 00:00:00+00:00,-0.843
2017-06-18 00:00:00+00:00,-0.2593
2017-06-19 00:00:00+00:00,-1.089
2017-06-20 00:00:00+00:00,-2.2294
2017-06-21 00:00:00+00:00,-2.8693
2017-06-22 00:00:00+00:00,-2.2563
2017-06-23 00:00:00+00:00,-2.2945
2017-06-24 00:00:00+00:00,-0.8311
2017-06-25 00:00:00+00:00,-0.8444
2017-06-26 00:00:00+00:00,-1.3348
2017-06-27 00:00:00+00:00,-4.4338
2017-06-28 00:00:00+00:00,-4.6553
2017-06-29 00:00:00+00:00,-2.1617
2017-06-30 00:00:00+00:00,-2.7897
2017-04-01 00:00:00+00:00,-2.2834
2017-04-02 00:00:00+00:00,-2.0811
2017-04-03 00:00:00+00:00,-2.567
2017-04-04 00:00:00+00:00,-1.6747
2017-04-05 00:00:00+00:00,-1.2963
2017-04-06 00:00:00+00:00,-1.3847
2017-04-07 00:00:00+00:00,-1.5671
2017-04-08 00:00:00+00:00,-1.7912
2017-04-09 00:00:00+00:00,-2.3828
2017-04-10 00:00:00+00:00,-0.9887
2017-04-11 00:00:00+00:00,-1.9202
2017-04-12 00:00:00+00:00,-1.7365
2017-04-13 00:00:00+00:00,-2.9348
2017-04-14 00:00:00+00:00,-2.0388
2017-04-15 00:00:00+00:00,-1.4456
2017-04-16 00:00:00+00:00,-1.4714
2017-04-17 00:00:00+00:00,-1.2177
2017-04-18 00:00:00+00:00,-1.6749
2017-04-19 00:00:00+00:00,-2.0292
2017-04-20 00:00:00+00:00,-1.4268
2017-04-21 00:00:00+00:00,-1.4755
2017-04-22 00:00:00+00:00,-3.8218
2017-04-23 00:00:00+00:00,-2.2522
2017-04-24 00:00:00+00:00,-2.513
2017-04-25 00:00:00+00:00,-3.4624
2017-04-26 00:00:00+00:00,-2.0427
2017-04-27 00:00:00+00:00,-2.1133
2017-04-28 00:00:00+00:00,-1.1062
2017-04-29 00:00:00+00:00,-1.748
2017-04-30 00:00:00+00:00,-1.2813
2017-09-01 00:00:00+00:00,-1.0909
2017-09-02 00:00:00+00:00,-1.3298
2017-09-03 00:00:00+00:00,-1.1513
2017-09-04 00:00:00+00:00,-1.8256
2017-09-05 00:00:00+00:00,-0.6627
2017-09-06 00:00:00+00:00,-1.4314
2017-09-07 00:00:00+00:00,-1.2556
2017-09-08 00:00:00+00:00,-1.4653
2017-09-09 00:00:00+00:00,-1.311
2017-09-10 00:00:00+00:00,-2.3162
2017-09-11 00:00:00+00:00,-1.7208
2017-09-12 00:00:00+00:00,-0.2266
2017-09-13 00:00:00+00:00,-1.7309
2017-09-14 00:00:00+00:00,-3.7556
2017-09-15 00:00:00+00:00,-2.2928
2017-09-16 00:00:00+00:00,-1.5734
2017-09-17 00:00:00+00:00,-1.058
2017-09-18 00:00:00+00:00,-0.8375
2017-09-19 00:00:00+00:00,-1.6141
2017-09-20 00:00:00+00:00,-2.1973
2017-09-21 00:00:00+00:00,-2.0312
2017-09-22 00:00:00+00:00,-2.0458
2017-09-23 00:00:00+00:00,-1.4425
2017-09-24 00:00:00+00:00,-1.1346
2017-09-25 00:00:00+00:00,-1.7976
2017-09-26 00:00:00+00:00,-1.351
2017-09-27 00:00:00+00:00,-2.4583
2017-09-28 00:00:00+00:00,-1.9646
2017-09-29 00:00:00+00:00,-2.4184
2017-09-30 00:00:00+00:00,-2.4627
2017-02-01 00:00:00+00:00,-3.9279
2017-02-02 00:00:00+00:00,-4.3139
2017-02-03 00:00:00+00:00,-4.0932
2017-02-04 00:00:00+00:00,-3.982
2017-02-05 00:00:00+00:00,-2.1
2017-02-06 00:00:00+00:00,-2.0173
2017-02-07 00:00:00+00:00,-2.4638
2017-02-08 00:00:00+00:00,-2.2461
2017-02-09 00:00:00+00:00,-1.238
2017-02-10 00:00:00+00:00,-0.9165
2017-02-11 00:00:00+00:00,-1.6448
2017-02-12 00:00:00+00:00,-0.2672
2017-02-13 00:00:00+00:00,-1.6178
2017-02-14 00:00:00+00:00,-2.313
2017-02-15 00:00:00+00:00,-1.7707
2017-02-16 00:00:00+00:00,-1.4949
2017-02-17 00:00:00+00:00,-0.7157
2017-02-18 00:00:00+00:00,-1.5854
2017-02-19 00:00:00+00:00,-1.9195
2017-02-20 00:00:00+00:00,-1.8141
2017-02-21 00:00:00+00:00,-2.4195
2017-02-22 00:00:00+00:00,-2.0907
2017-02-23 00:00:00+00:00,-1.4031
2017-02-24 00:00:00+00:00,-1.3861
2017-02-25 00:00:00+00:00,-1.7577
2017-02-26 00:00:00+00:00,-1.6012
2017-02-27 00:00:00+00:00,-1.8946
2017-02-28 00:00:00+00:00,-1.1386
2017-10-01 00:00:00+00:00,-1.566
2017-10-02 00:00:00+00:00,-1.9047
2017-10-03 00:00:00+00:00,-1.5144
2017-10-04 00:00:00+00:00,-1.7145
2017-10-05 00:00:00+00:00,-1.6323
2017-10-06 00:00:00+00:00,-2.0219
2017-10-07 00:00:00+00:00,-0.8416
2017-10-08 00:00:00+00:00,-0.1315
2017-10-09 00:00:00+00:00,-1.161
2017-10-10 00:00:00+00:00,-1.3316
2017-10-11 00:00:00+00:00,-2.0831
2017-10-12 00:00:00+00:00,-1.3249
2017-10-13 00:00:00+00:00,-1.8433
2017-10-14 00:00:00+00:00,-1.7338
2017-10-15 00:00:00+00:00,-1.2848
2017-10-16 00:00:00+00:00,-1.1852
2017-10-17 00:00:00+00:00,-0.7444
2017-10-18 00:00:00+00:00,-0.6667
2017-10-19 00:00:00+00:00,-1.3497
2017-10-20 00:00:00+00:00,-1.4983
2017-10-21 00:00:00+00:00,-0.7828
2017-10-22 00:00:00+00:00,-0.5658
2017-10-23 00:00:00+00:00,-0.9782
2017-10-24 00:00:00+00:00,-2.7793
2017-10-25 00:00:00+00:00,-3.2936
2017-10-26 00:00:00+00:00,-3.3104
2017-10-27 00:00:00+00:00,-2.0519
2017-10-28 00:00:00+00:00,-2.49
2017-10-29 00:00:00+00:00,-1.564
2017-10-30 00:00:00+00:00,-3.3126
2017-10-31 00:00:00+00:00,-4.0293
2017-08-01 00:00:00+00:00,-0.2502
2017-08-02 00:00:00+00:00,-1.5589
2017-08-03 00:00:00+00:00,-2.0641
2017-08-04 00:00:00+00:00,-2.0163
2017-08-05 00:00:00+00:00,-1.5605
2017-08-06 00:00:00+00:00,-1.4293
2017-08-07 00:00:00+00:00,-2.4029
2017-08-08 00:00:00+00:00,-1.1434
2017-08-09 00:00:00+00:00,-1.0511
2017-08-10 00:00:00+00:00,-1.6651
2017-08-11 00:00:00+00:00,-1.3623
2017-08-12 00:00:00+00:00,-1.3966
2017-08-13 00:00:00+00:00,-0.3852
2017-08-14 00:00:00+00:00,-1.6612
2017-08-15 00:00:00+00:00,-1.938
2017-08-16 00:00:00+00:00,-1.6412
2017-08-17 00:00:00+00:00,-1.1966
2017-08-18 00:00:00+00:00,-1.0832
2017-08-19 00:00:00+00:00,-0.3021
2017-08-20 00:00:00+00:00,-1.8432
2017-08-21 00:00:00+00:00,-0.8821
2017-08-22 00:00:00+00:00,-1.6198
2017-08-23 00:00:00+00:00,-1.084
2017-08-24 00:00:00+00:00,-1.4031
2017-08-25 00:00:00+00:00,-2.0488
2017-08-26 00:00:00+00:00,-1.3367
2017-08-27 00:00:00+00:00,-1.1305
2017-08-28 00:00:00+00:00,-1.3846
2017-08-29 00:00:00+00:00,-1.6947
2017-08-30 00:00:00+00:00,-1.8355
2017-08-31 00:00:00+00:00,-1.6715
2017-07-01 00:00:00+00:00,-4.9695
2017-07-02 00:00:00+00:00,-3.7446
2017-07-03 00:00:00+00:00,-1.3555
2017-07-04 00:00:00+00:00,-1.8197
2017-07-05 00:00:00+00:00,-1.8047
2017-07-06 00:00:00+00:00,-1.2981
2017-07-07 00:00:00+00:00,-1.8535
2017-07-08 00:00:00+00:00,-2.1505
2017-07-09 00:00:00+00:00,-1.1881
2017-07-10 00:00:00+00:00,-1.2495
2017-07-11 00:00:00+00:00,-0.8526
2017-07-12 00:00:00+00:00,-1.1068
2017-07-13 00:00:00+00:00,-0.764
2017-07-14 00:00:00+00:00,-1.1621
2017-07-15 00:00:00+00:00,-1.2101
2017-07-16 00:00:00+00:00,-1.8498
2017-07-17 00:00:00+00:00,-2.5502
2017-07-18 00:00:00+00:00,-2.9014
2017-07-19 00:00:00+00:00,-1.7069
2017-07-20 00:00:00+00:00,-1.7707
2017-07-21 00:00:00+00:00,-2.4406
2017-07-22 00:00:00+00:00,-2.4996
