datetime,Article Count,All Articles
2017-06-01 00:00:00+00:00,210,744295
2017-06-02 00:00:00+00:00,168,724843
2017-06-03 00:00:00+00:00,181,451564
2017-06-04 00:00:00+00:00,73,429682
2017-06-05 00:00:00+00:00,239,703607
2017-06-06 00:00:00+00:00,141,736228
2017-06-07 00:00:00+00:00,112,735573
2017-06-08 00:00:00+00:00,165,768985
2017-06-09 00:00:00+00:00,89,770400
2017-06-10 00:00:00+00:00,38,434080
2017-06-11 00:00:00+00:00,46,430541
2017-06-12 00:00:00+00:00,113,680435
2017-06-13 00:00:00+00:00,126,735151
2017-06-14 00:00:00+00:00,243,788289
2017-06-15 00:00:00+00:00,333,762286
2017-06-16 00:00:00+00:00,310,716460
2017-06-17 00:00:00+00:00,107,440916
2017-06-18 00:00:00+00:00,79,439922
2017-06-19 00:00:00+00:00,182,689443
2017-06-20 00:00:00+00:00,294,712433
2017-06-21 00:00:00+00:00,407,760797
2017-06-22 00:00:00+00:00,288,711096
2017-06-23 00:00:00+00:00,233,658889
2017-06-24 00:00:00+00:00,187,467374
2017-06-25 00:00:00+00:00,95,372431
2017-06-26 00:00:00+00:00,263,603267
2017-06-27 00:00:00+00:00,1184,576105
2017-06-28 00:00:00+00:00,1850,617148
2017-06-29 00:00:00+00:00,566,564835
2017-06-30 00:00:00+00:00,371,585683
2017-04-01 00:00:00+00:00,371,492104
2017-04-02 00:00:00+00:00,95,451222
2017-04-03 00:00:00+00:00,191,752077
2017-04-04 00:00:00+00:00,188,803101
2017-04-05 00:00:00+00:00,173,828653
2017-04-06 00:00:00+00:00,263,806340
2017-04-07 00:00:00+00:00,176,812309
2017-04-08 00:00:00+00:00,85,498778
2017-04-09 00:00:00+00:00,56,465133
2017-04-10 00:00:00+00:00,151,760184
2017-04-11 00:00:00+00:00,198,823150
2017-04-12 00:00:00+00:00,144,818751
2017-04-13 00:00:00+00:00,364,804729
2017-04-14 00:00:00+00:00,373,604707
2017-04-15 00:00:00+00:00,167,466894
2017-04-16 00:00:00+00:00,43,433510
2017-04-17 00:00:00+00:00,122,638778
2017-04-18 00:00:00+00:00,341,784482
2017-04-19 00:00:00+00:00,237,747158
2017-04-20 00:00:00+00:00,169,796608
2017-04-21 00:00:00+00:00,173,772343
2017-04-22 00:00:00+00:00,367,457279
2017-04-23 00:00:00+00:00,226,433977
2017-04-24 00:00:00+00:00,449,712864
2017-04-25 00:00:00+00:00,353,802345
2017-04-26 00:00:00+00:00,257,796260
2017-04-27 00:00:00+00:00,302,825698
2017-04-28 00:00:00+00:00,174,752542
2017-04-29 00:00:00+00:00,74,493023
2017-04-30 00:00:00+00:00,59,427499
2017-09-01 00:00:00+00:00,146,579761
2017-09-02 00:00:00+00:00,90,417828
2017-09-03 00:00:00+00:00,68,375844
2017-09-04 00:00:00+00:00,76,537094
2017-09-05 00:00:00+00:00,115,610794
2017-09-06 00:00:00+00:00,162,683987
2017-09-07 00:00:00+00:00,193,668171
2017-09-08 00:00:00+00:00,134,647998
2017-09-09 00:00:00+00:00,95,429960
2017-09-10 00:00:00+00:00,168,411500
2017-09-11 00:00:00+00:00,167,643116
2017-09-12 00:00:00+00:00,123,698020
2017-09-13 00:00:00+00:00,148,679735
2017-09-14 00:00:00+00:00,247,684334
2017-09-15 00:00:00+00:00,200,568382
2017-09-16 00:00:00+00:00,43,408913
2017-09-17 00:00:00+00:00,96,402122
2017-09-18 00:00:00+00:00,216,626067
2017-09-19 00:00:00+00:00,143,676489
2017-09-20 00:00:00+00:00,226,698366
2017-09-21 00:00:00+00:00,262,697649
2017-09-22 00:00:00+00:00,230,605271
2017-09-23 00:00:00+00:00,134,443473
2017-09-24 00:00:00+00:00,68,384082
2017-09-25 00:00:00+00:00,132,651733
2017-09-26 00:00:00+00:00,151,652905
2017-09-27 00:00:00+00:00,213,622285
2017-09-28 00:00:00+00:00,122,652886
2017-09-29 00:00:00+00:00,144,597897
2017-09-30 00:00:00+00:00,111,387916
2017-02-01 00:00:00+00:00,490,877514
2017-02-02 00:00:00+00:00,720,878535
2017-02-03 00:00:00+00:00,985,849054
2017-02-04 00:00:00+00:00,252,547610
2017-02-05 00:00:00+00:00,354,489387
2017-02-06 00:00:00+00:00,494,810397
2017-02-07 00:00:00+00:00,453,886593
2017-02-08 00:00:00+00:00,425,908408
2017-02-09 00:00:00+00:00,298,895654
2017-02-10 00:00:00+00:00,246,851022
2017-02-11 00:00:00+00:00,140,535178
2017-02-12 00:00:00+00:00,131,501551
2017-02-13 00:00:00+00:00,239,828201
2017-02-14 00:00:00+00:00,339,888105
2017-02-15 00:00:00+00:00,941,902442
2017-02-16 00:00:00+00:00,617,899621
2017-02-17 00:00:00+00:00,672,845037
2017-02-18 00:00:00+00:00,523,546303
2017-02-19 00:00:00+00:00,246,492129
2017-02-20 00:00:00+00:00,542,770453
2017-02-21 00:00:00+00:00,473,863510
2017-02-22 00:00:00+00:00,387,896676
2017-02-23 00:00:00+00:00,306,882237
2017-02-24 00:00:00+00:00,194,831927
2017-02-25 00:00:00+00:00,85,537968
2017-02-26 00:00:00+00:00,166,490789
2017-02-27 00:00:00+00:00,205,801362
2017-02-28 00:00:00+00:00,162,845987
2017-10-01 00:00:00+00:00,32,348336
2017-10-02 00:00:00+00:00,246,580615
2017-10-03 00:00:00+00:00,94,657347
